# index, label, _pos
254,1564,"array([17.78197327, 16.88539925])"
255,65,"array([18.26700831, 17.29316929])"
256,1085,"array([18.36736802, 17.29351108])"
257,1565,"array([18.20771904, 17.35610189])"
258,66,"array([18.60641965, 17.69668527])"
259,1086,"array([18.55635901, 17.6260403 ])"
260,1566,"array([18.53366675, 17.74923105])"
261,67,"array([16.90010621, 16.12806925])"
262,1087,"array([16.93676342, 16.21955313])"
263,1567,"array([16.82490625, 16.10466908])"
264,68,"array([19.12340455, 17.77885451])"
265,1088,"array([19.05508223, 17.77827224])"
266,1568,"array([19.21990125, 17.73094628])"
267,69,"array([18.08880055, 16.5037552 ])"
268,1089,"array([18.00815145, 16.45388378])"
269,1569,"array([18.09966942, 16.59465839])"
270,70,"array([17.04984584, 15.65241726])"
271,1090,"array([16.96643398, 15.66615098])"
272,1570,"array([17.09441621, 15.73528735])"
273,71,"array([18.63367102, 16.49251838])"
274,1091,"array([18.67132971, 16.57410065])"
275,1571,"array([18.67639783, 16.41048764])"
276,72,"array([19.99596418, 16.40724887])"
277,1092,"array([19.97205533, 16.51006369])"
278,1572,"array([20.05492514, 16.33267378])"
279,73,"array([17.35943629, 17.12890515])"
280,1093,"array([17.44278464, 17.18588682])"
281,1573,"array([17.33976609, 17.03715049])"
282,74,"array([19.43291747, 16.86991295])"
283,1094,"array([19.41160045, 16.96146707])"
284,1574,"array([19.36681677, 16.8145205 ])"
285,75,"array([18.49331439, 15.89771952])"
286,1095,"array([18.56144255, 15.95957579])"
287,1575,"array([18.40033369, 15.91635495])"
288,76,"array([17.08938809, 16.85588425])"
289,1096,"array([17.16004165, 16.81803181])"
290,1576,"array([17.01181067, 16.79373731])"
291,77,"array([18.33898575, 15.38848471])"
292,1097,"array([18.24393957, 15.38241937])"
293,1577,"array([18.40306842, 15.32368187])"
294,78,"array([19.91961876, 16.58118845])"
295,1098,"array([19.95210431, 16.48127686])"
296,1578,"array([19.92995647, 16.6737912 ])"
297,79,"array([18.05199909, 16.82175884])"
298,1099,"array([17.98045124, 16.7580475 ])"
299,1579,"array([18.14489498, 16.80940368])"
300,80,"array([18.34194321, 17.00650722])"
301,1100,"array([18.37667866, 16.92531137])"
302,1580,"array([18.40568785, 17.07012573])"
303,81,"array([16.76439739, 15.78777911])"
304,1101,"array([16.72089116, 15.87161225])"
305,1581,"array([16.7708362, 15.6835323])"
306,82,"array([19.72184959, 16.92434151])"
307,1102,"array([19.80039753, 16.93493267])"
308,1582,"array([19.64342278, 16.9851342 ])"
309,83,"array([16.8579083 , 16.91634608])"
310,1103,"array([16.82759907, 16.81545353])"
311,1583,"array([16.82890857, 16.97418443])"
312,84,"array([17.16888319, 16.03031487])"
313,1104,"array([17.25529959, 16.0098275 ])"
314,1584,"array([17.13653933, 16.12314658])"
315,85,"array([19.59330307, 16.17443016])"
316,1105,"array([19.54741999, 16.09468281])"
317,1585,"array([19.56498849, 16.26692704])"
318,86,"array([17.60239905, 14.35338248])"
319,1106,"array([17.51836686, 14.41701425])"
320,1586,"array([17.63927475, 14.30556499])"
321,87,"array([18.9040743 , 17.50321381])"
322,1107,"array([18.98057026, 17.43582798])"
323,1587,"array([18.80385735, 17.50480578])"
324,88,"array([18.22634704, 15.70585365])"
325,1108,"array([18.18437375, 15.78820501])"
326,1588,"array([18.18462251, 15.62446669])"
