# index, gene, tax_id, _pos
166,6239,171602,"array([ 7.05550624, 10.25938651])"
167,6239,172842,"array([ 6.53949236, 10.45686115])"
168,6239,172977,"array([ 7.06453187, 10.24280877])"
169,6239,174317,"array([ 6.39659923, 10.0787882 ])"
170,6239,178311,"array([ 6.67722194, 10.04599253])"
171,6239,178465,"array([ 6.76356772, 10.09388853])"
172,6239,178942,"array([ 6.55234492, 10.09379311])"
173,6239,179709,"array([6.75976743, 9.77381259])"
174,6239,180419,"array([ 6.77450988, 10.1310294 ])"
175,6239,181524,"array([ 6.70445856, 10.48685496])"
176,6239,184201,"array([6.62341052, 9.8679479 ])"
177,6239,187728,"array([ 6.77456099, 10.1533834 ])"
178,6239,187779,"array([ 6.73610641, 10.39905114])"
179,6239,171604,"array([ 5.65938396, 11.76502316])"
180,6239,176074,"array([ 5.96390645, 11.24942129])"
181,6239,171607,"array([ 6.85911329, 10.3741785 ])"
182,6239,175195,"array([6.44461009, 9.95528945])"
183,6239,176023,"array([ 7.31577917, 10.05823819])"
184,6239,171610,"array([ 5.32118864, 10.54191838])"
185,6239,173028,"array([ 6.07225135, 10.32039035])"
186,6239,171617,"array([6.13765233, 9.73663639])"
187,6239,172470,"array([6.12337335, 9.79350586])"
188,6239,177706,"array([6.33574869, 9.95745539])"
189,6239,180982,"array([ 6.85373938, 10.04763829])"
190,6239,182915,"array([6.17790265, 9.8230145 ])"
191,6239,3565199,"array([6.43134906, 9.98680964])"
192,6239,171619,"array([ 6.57057116, 10.09075831])"
193,6239,177244,"array([7.06912658, 9.70582469])"
194,6239,177533,"array([ 6.84960876, 10.17321596])"
195,6239,180245,"array([ 6.37453454, 10.48966308])"
196,6239,185264,"array([ 7.06271335, 10.81153734])"
197,6239,186308,"array([5.82554768, 9.68582679])"
198,6239,171621,"array([7.12757909, 9.89978902])"
199,6239,179945,"array([ 6.9963707 , 10.01292158])"
200,6239,171622,"array([ 7.52534503, 10.42862733])"
201,6239,173015,"array([ 6.50823927, 10.16231775])"
202,6239,171624,"array([5.2406568 , 9.45217022])"
203,6239,176449,"array([5.91494894, 9.75870686])"
204,6239,171627,"array([ 6.78184631, 10.38101104])"
205,6239,172338,"array([ 6.67748834, 10.14338369])"
206,6239,181400,"array([6.74555648, 9.72898285])"
207,6239,171630,"array([6.71311846, 9.67017047])"
208,6239,176617,"array([6.19857834, 9.77381767])"
209,6239,177703,"array([ 6.75386818, 10.27705704])"
210,6239,171635,"array([ 6.67161021, 10.82992482])"
211,6239,175462,"array([ 6.79563392, 10.1820152 ])"
212,6239,176793,"array([ 6.94061435, 10.21847383])"
213,6239,171636,"array([ 7.0081591, 10.6193959])"
214,6239,178107,"array([ 6.52786393, 10.17702476])"
215,6239,171641,"array([ 5.12787995, 10.52820517])"
216,6239,178416,"array([ 5.80552199, 10.34570305])"
217,6239,171646,"array([ 6.98495492, 10.11009439])"
218,6239,173330,"array([7.62310955, 9.8433553 ])"
219,6239,174090,"array([ 7.164682  , 10.23517974])"
220,6239,175682,"array([6.28846882, 9.67761969])"
221,6239,177425,"array([ 7.26296885, 10.04536536])"
222,6239,177531,"array([6.56434317, 9.48587404])"
223,6239,181727,"array([6.88905353, 9.8029954 ])"
224,6239,182104,"array([ 6.15312033, 10.43088674])"
225,6239,183874,"array([ 6.79739129, 10.01590021])"
226,6239,3564919,"array([7.09742316, 9.39162354])"
227,6239,171888,"array([ 6.83826281, 10.00889207])"
228,6239,171942,"array([6.36754354, 9.85178598])"
229,6239,172129,"array([ 6.58306823, 10.30971478])"
230,6239,172878,"array([6.65947501, 9.76653187])"
231,6239,173518,"array([6.81338281, 9.99598604])"
