# index, name, family, order, is_pollinator, _pos
304,Anacrabro ocellatus,Crabronidae,Hymenoptera,1,"array([3.68425727, 0.77538603])"
305,Andrena platyparia,Andrenidae,Hymenoptera,1,"array([3.81898824, 1.32711327])"
306,Andrena pruni,Andrenidae,Hymenoptera,1,"array([4.29119204, 1.21347298])"
307,Anthocomus erichsoni,Melachidae,Coleoptera,1,"array([3.78247091, 1.40701806])"
308,Anthrenus musaeorum,Dermestidae,Coleoptera,1,"array([4.40305153, 1.82223259])"
309,Asclera puncticollis,Oedemeridae,Coleoptera,1,"array([4.42170285, 1.4588191 ])"
310,Attalus scincetus,Melachidae,Coleoptera,1,"array([3.62097731, 1.50002277])"
311,Blepharipus harringtonii,Crabronidae,Hymenoptera,1,"array([4.25961154, 2.11672955])"
312,Bruchus hibisci,Bruchidae,Coleoptera,1,"array([3.74166142, 1.45857122])"
313,Centrinus picumnus,Curculionidae,Coleoptera,1,"array([3.61582955, 1.16987512])"
314,Chilosia pallipes,Syrphidae,Diptera,1,"array([3.90401502, 2.16089069])"
315,Chrysogaster nigripes,Syrphidae,Diptera,1,"array([4.02114215, 1.35966202])"
316,Cryptorhopalum haemorrhoidale,Dermestidae,Coleoptera,1,"array([3.66058392, 1.46196417])"
317,Cryptorhopalum triste,Dermestidae,Coleoptera,1,"array([4.10446748, 1.72626201])"
318,Disonycha limbicollis,Chrysomelidae,Coleoptera,1,"array([3.96468841, 1.43519223])"
319,Empis distans,Empididae,Diptera,1,"array([4.10995745, 1.24980454])"
320,Epigrimyia floridensis,Tachinidae,Diptera,1,"array([4.22857289, 0.79267968])"
321,Epurea labilis,Nitidulidae,Coleoptera,1,"array([4.2161085 , 2.17412827])"
322,Epurea truncatella,Nitidulidae,Coleoptera,1,"array([3.96478843, 2.10926254])"
323,Euderces picipes,Cerambycidae,Coleoptera,1,"array([3.81684428, 1.26646372])"
324,Leptura exigua,Cerambycidae,Coleoptera,1,"array([4.05829834, 2.16498253])"
325,Leptura pubera,Cerambycidae,Coleoptera,1,"array([4.09662905, 2.09624063])"
326,Leptura vittata,Cerambycidae,Coleoptera,1,"array([4.23330864, 2.05168828])"
327,Lopidea media,Capsidae,Hemiptera,1,"array([3.75061335, 1.51505444])"
328,Melyris cribrata,Melachidae,Coleoptera,1,"array([4.02888844, 2.0820814 ])"
329,Molorchus bimaculatus,Cerambycidae,Coleoptera,1,"array([4.43460944, 1.2586313 ])"
330,Mordella marginata,Mordellidae,Coleoptera,1,"array([3.7622052 , 0.99337839])"
331,Mordellistena aspersa,Mordellidae,Coleoptera,1,"array([4.14984802, 1.68874691])"
332,Mordellistena biplagiata,Mordellidae,Coleoptera,1,"array([4.24628371, 1.5169762 ])"
333,Mordellistena lutea,Mordellidae,Coleoptera,1,"array([3.98924419, 2.18389766])"
334,Mordellistena ornata,Mordellidae,Coleoptera,1,"array([3.88828216, 1.54085078])"
335,Mordellistena pubescens,Mordellidae,Coleoptera,1,"array([3.89248854, 1.4071429 ])"
336,Opandrena serotina,Andrenidae,Hymenoptera,1,"array([3.85517234, 1.41827309])"
337,Orphilus glabratus,Dermestidae,Coleoptera,1,"array([4.04234088, 1.70241149])"
338,Pentaria trifasciata,Mordellidae,Coleoptera,1,"array([3.81443781, 1.44017909])"
339,Phytomyza palpalis,Agromyzidae,Diptera,1,"array([4.12651321, 2.1880803 ])"
340,Prosopis illinoensis,Prosopididae,Hymenoptera,1,"array([3.8460933 , 1.06283535])"
341,Seracosomus silaceus,Elateridae,Coleoptera,1,"array([4.16572649, 2.12042595])"
342,Siphonella cinerea,Oscinidae,Diptera,1,"array([3.63582937, 1.2221606 ])"
343,Sphegina rufiventris,Syrphidae,Diptera,1,"array([4.31891606, 1.31338912])"
344,Trachandrena crataegi,Andrenidae,Hymenoptera,1,"array([4.04769094, 1.20712096])"
345,Trachandrena nuda,Andrenidae,Hymenoptera,1,"array([4.08934699, 1.22409277])"
346,Trachandrena oligolege,Andrenidae,Hymenoptera,1,"array([4.16245034, 2.05354955])"
347,Trachandrena spiraeana,Andrenidae,Hymenoptera,1,"array([3.86242935, 1.57775089])"
348,Trichius affinis,Scarabaeidae,Coleoptera,1,"array([4.24974196, 1.16246787])"
349,Typocerus badius,Cerambycidae,Coleoptera,1,"array([3.53835615, 1.26057998])"
350,Typocerus lugubris,Cerambycidae,Coleoptera,1,"array([3.90654663, 1.83935338])"
351,Valgus canaliculatus,Scarabaeidae,Coleoptera,1,"array([4.32722643, 1.58076481])"
352,Zodion nanellum,Conopidae,Diptera,1,"array([3.75104201, 1.03830734])"
353,Ascerates floridana,Asclepiadaceae,,0,"array([3.7342522 , 0.58385172])"
354,Bembix nubillipennis,Bembicidae,Hymenoptera,1,"array([3.80319637, 0.30582202])"
355,Cerceris compar,Philanthidae,Hymenoptera,1,"array([3.53613599, 1.02623475])"
356,Chrysophanus thoe,Lycaenidae,Lepidoptera,1,"array([4.0183668, 0.5984577])"
357,Leionotus arvensis,Eumenidae,Hymenoptera,1,"array([3.83818899, 0.4500497 ])"
358,Megachile generosa,Megachilidae,Hymenoptera,1,"array([3.85214653, 0.37754505])"
359,Orgilus rileyi,Braconidae,Hymenoptera,1,"array([3.18188632, 0.9501719 ])"
360,Polistes variatus,Vespidae,Hymenoptera,1,"array([3.91728766, 0.79340866])"
361,Priocnemoides unifasciatus,Pompilidae,Hymenoptera,1,"array([3.52143506, 0.25242851])"
362,Scepsis fulvicollis,Ctenuchidae,Lepidoptera,1,"array([3.93993813, 0.54816526])"
363,Ascerates viridiflora,Asclepiadaceae,,0,"array([4.06231037e+00, 1.45798287e-03])"
364,Anthedon compta,Euceridae,Hymenoptera,1,"array([ 4.22327282, -0.06174264])"
365,Tachytes mandibularis,Larridae,Hymenoptera,1,"array([3.71626843, 0.22551416])"
366,Asclepias incarnata,Asclepiadaceae,,0,"array([3.83041294, 0.48218972])"
367,Achalarus lycidas,Hesperiidae,Lepidoptera,1,"array([4.03298179, 0.09197909])"
368,Acmaeodera pulchella,Buprestidae,Coleoptera,1,"array([ 3.79245765, -0.07292737])"
369,Ageniella accepta,Pompilidae,Hymenoptera,1,"array([3.12032595, 0.56323854])"
370,Ammobia ichneumonea,Sphecidae,Hymenoptera,1,"array([3.89542717, 0.66781408])"
371,Ammobia nuda,Sphecidae,Hymenoptera,1,"array([3.56583094, 0.42989243])"
372,Ammobia pennsylvanica,Sphecidae,Hymenoptera,1,"array([3.58140233, 0.6320943 ])"
373,Arachnoproctonus ferrugineus,Pompilidae,Hymenoptera,1,"array([3.42786751, 0.63445982])"
374,Augochlora fervida,Halictidae,Hymenoptera,1,"array([4.03680189, 0.66608861])"
375,Basilarchia archippus,Nymphalidae,Lepidoptera,1,"array([3.87687256, 0.51016344])"
376,Bembix spinolae,Bembicidae,Hymenoptera,1,"array([3.84319081, 0.3147585 ])"
377,Cerceris clypeata,Philanthidae,Hymenoptera,1,"array([3.64114038, 0.78768283])"
378,Cerceris finitima,Philanthidae,Hymenoptera,1,"array([3.70499606, 0.79726395])"
379,Cerceris fumipennis,Philanthidae,Hymenoptera,1,"array([3.57500561, 0.74535004])"
380,Colletes latitarsis,Colletidae,Hymenoptera,1,"array([3.59671261, 0.26181437])"
381,Conops xanthopareus,Conopidae,Diptera,1,"array([3.59929052, 0.58842102])"
382,Elis interrupta,Scoliidae,Hymenoptera,1,"array([3.68013966, 0.552765  ])"
383,Elis obscura,Scoliidae,Hymenoptera,1,"array([3.64698624, 0.30096882])"
384,Ennyomma globosa,Tachinidae,Diptera,1,"array([3.51325187, 0.77652088])"
385,Epargyreus tityrus,Hesperiidae,Lepidoptera,1,"array([4.19420304, 0.53426067])"
386,Epicauta vittata,Meloidae,Coleoptera,1,"array([ 3.39591622, -0.30614335])"
387,Epimelissodes atripes,Euceridae,Hymenoptera,1,"array([3.98350178, 0.19464158])"
388,Episyron biguttatus,Pompilidae,Hymenoptera,1,"array([3.55035391, 0.84958977])"
389,Euphoeades troilus,Papilionidae,Lepidoptera,1,"array([4.36587786, 0.33291776])"
390,Euphoria sepulchralis,Scarabaeidae,Coleoptera,1,"array([3.74432732, 0.69023554])"
391,Euphyes verna,Hesperiidae,Lepidoptera,1,"array([4.16890012, 0.15291161])"
392,Heraclides cresphontes,Papilionidae,Lepidoptera,1,"array([4.34413403, 0.36101701])"
393,Hypatus bachmanni,Nymphalidae,Lepidoptera,1,"array([3.33635436, 0.70931663])"
394,Isodontia macrocephala,Sphecidae,Hymenoptera,1,"array([3.39870233, 0.49463772])"
395,Jasoniades glaucus,Papilionidae,Lepidoptera,1,"array([4.3662525 , 0.55200713])"
396,Laertias philenor,Papilionidae,Lepidoptera,1,"array([4.24132645, 0.49958382])"
397,Lophopompilus atrox,Pompilidae,Hymenoptera,1,"array([3.39633831, 0.78920088])"
398,Masiphya brasiliana,Tachinidae,Diptera,1,"array([ 3.53143094, -0.36816684])"
399,Megastizus brevipennis,Bembicidae,Hymenoptera,1,"array([3.53291589, 0.52516123])"
400,Melissodes trinodis,Euceridae,Hymenoptera,1,"array([4.02208821, 0.26752822])"
401,Melitoma taurea,Emphoridae,Hymenoptera,1,"array([ 4.46111415, -0.01051622])"
402,Midas clavatus,Midaidae,Diptera,1,"array([3.56572241, 0.30798497])"
403,Midas tibialis,Midaidae,Diptera,1,"array([3.44088654, 0.2271897 ])"
404,Oncopeltus fasciatus,Lygaeidae,Hemiptera,1,"array([3.67900371, 0.33247728])"
405,Opsidia gonioides,Tachinidae,Diptera,1,"array([3.21154089, 0.30567607])"
406,Panzeria radicum,Tachinidae,Diptera,1,"array([3.90639084, 1.20756771])"
407,Papilio asterias,Papilionidae,Lepidoptera,1,"array([4.34065844, 0.40324149])"
408,Phasioclista metallica,Tachinidae,Diptera,1,"array([3.24196236, 0.5808645 ])"
409,Phyciodes tharos,Nymphalidae,Lepidoptera,1,"array([4.05912871, 0.63277672])"
410,Physocephala tibialis,Conopidae,Diptera,1,"array([4.02799926, 0.5279551 ])"
411,Polistes pallipes,Vespidae,Hymenoptera,1,"array([3.97611143, 0.78958669])"
412,Polistes rubiginosus,Vespidae,Hymenoptera,1,"array([3.72374971, 0.73675652])"
413,Polites peckius,Hesperiidae,Lepidoptera,1,"array([4.12807279, 0.56664914])"
414,Priocnemoides fulvicornis,Pompilidae,Hymenoptera,1,"array([3.63727191, 0.53207821])"
415,Pseudoplisus phaleratus,Nyssonidae,Hymenoptera,1,"array([3.43057626, 0.75684503])"
416,Psithyrus laboriosus,Bombidae,Hymenoptera,1,"array([4.0915428 , 0.19015585])"
417,Sceliphron cementarius,Sphecidae,Hymenoptera,1,"array([3.67073818, 0.82816257])"
418,Sparnopolius fulvus,Bombyliidae,Diptera,1,"array([3.8810444 , 0.44280184])"
419,Speyeria idalia,Nymphalidae,Lepidoptera,1,"array([4.08498173, 0.11970016])"
420,Sphecius speciosus,Bembicidae,Hymenoptera,1,"array([3.24169328, 0.38671527])"
421,Stictia carolina,Bembicidae,Hymenoptera,1,"array([3.89795508, 0.1088181 ])"
422,Stratiomyia meigenii,Stratiomyidae,Diptera,1,"array([3.7110979 , 0.87625215])"
423,Stylogaster biannulata,Conopidae,Diptera,1,"array([4.0418129 , 0.56597375])"
424,Tachytes aurulentus,Larridae,Hymenoptera,1,"array([3.69033418, 0.39882602])"
425,Tachytes distinctus,Larridae,Hymenoptera,1,"array([4.27691662, 0.50066606])"
426,Tetraopes tetraophthalmus,Cerambycidae,Coleoptera,1,"array([ 3.87035003, -0.05669658])"
427,Trichopoda lanipes,Tachinidae,Diptera,1,"array([3.18064141, 0.3577307 ])"
428,Vanessa atalanta,Papilionidae,Lepidoptera,1,"array([4.21720398, 0.6967937 ])"
429,Vespula cuneata,Vespidae,Hymenoptera,1,"array([3.47611063, 0.65703219])"
430,Vespula maculata,Vespidae,Hymenoptera,1,"array([3.74730773, 0.77335574])"
431,Vespula vidua,Vespidae,Hymenoptera,1,"array([3.22010518, 0.24921647])"
432,Asclepias purpurascens,Asclepiadaceae,,0,"array([4.20135553, 0.41292499])"
433,Euphydryas phaeton,Nymphalidae,Lepidoptera,1,"array([ 4.10004263, -0.10017645])"
434,Limochores manataaqua,Hesperiidae,Lepidoptera,1,"array([4.53425917, 0.29281264])"
435,Megachile addenda,Megachilidae,Hymenoptera,1,"array([4.4568524 , 0.31593904])"
436,Pamphila hobomok,Hesperiidae,Lepidoptera,1,"array([4.86351824, 0.1875299 ])"
437,Tetralonia rosae,Euceridae,Hymenoptera,1,"array([4.43627665, 0.66716757])"
438,Thecla sylvinus,Lycaenidae,Lepidoptera,1,"array([ 3.83381086, -0.0063155 ])"
439,Thorybes pylades,Hesperiidae,Lepidoptera,1,"array([4.55983324, 0.44605262])"
440,Asclepias sullivantii,Asclepiadaceae,,0,"array([3.99608861, 0.54149757])"
441,Argyroselenis minimus,Epeolidae,Hymenoptera,1,"array([ 4.42370997, -0.14441217])"
442,Astatus bicolor,Larridae,Hymenoptera,1,"array([3.37670849, 0.3936234 ])"
443,Calocoris rapidus,Capsidae,Hemiptera,1,"array([3.80287621, 0.38633292])"
444,Centrinus scutellum album,Curculionidae,Coleoptera,1,"array([3.79248713, 0.42470626])"
445,Chaetogaedia analis,Syrphidae,Diptera,1,"array([3.43537414, 0.91487132])"
446,Drepanium falciferum,Sphecodiniidae,Hymenoptera,1,"array([3.97243062, 1.18126869])"
447,Epeolus bifasciatus,Epeolidae,Hymenoptera,1,"array([3.89675092, 0.37782644])"
448,Euphyes metacomet,Hesperiidae,Lepidoptera,1,"array([4.40510291, 0.33103953])"
449,Florilegus condignus,Euceridae,Hymenoptera,1,"array([4.08955759, 0.24308707])"
450,Hemaris axillaris,Sphingidae,Lepidoptera,1,"array([4.36928977, 0.05127907])"
451,Ichneumon flavizonatus,Ichneumonidae,Hymenoptera,1,"array([3.39947062, 1.08533916])"
452,Lyroda subita,Larridae,Hymenoptera,1,"array([3.31822618, 0.82393714])"
453,Melissodes coreopsis,Euceridae,Hymenoptera,1,"array([3.95129882e+00, 1.86633915e-03])"
454,Microbembex monodonta,Bembicidae,Hymenoptera,1,"array([4.51747389, 0.01213374])"
455,Peponapis pruinosa,Euceridae,Hymenoptera,1,"array([4.40704428, 0.19329747])"
456,Philanthus punctatus,Philanthidae,Hymenoptera,1,"array([3.66834422, 0.68116896])"
457,Phorantha humeralis,Tachinidae,Diptera,1,"array([3.70430983, 0.68393334])"
458,Podisus spinosus,Pentatomidae,Hemiptera,1,"array([3.74360117, 0.0261005 ])"
459,Sayapis pugnata,Megachilidae,Hymenoptera,1,"array([4.07934316, 0.28396728])"
460,Sesia 6-fasciata,Sesiidae,Lepidoptera,1,"array([3.92494084, 0.24581067])"
461,Sphecodes arvensis,Halictidae,Hymenoptera,1,"array([3.87599035, 0.96657703])"
462,Strymon titus,Lycaenidae,Lepidoptera,1,"array([3.85546343, 0.03898146])"
463,Uranotes melinus,Lycaenidae,Lepidoptera,1,"array([3.95140407, 0.51355608])"
464,Zodion obliquefasciatum,Conopidae,Diptera,1,"array([3.94969751, 0.27818475])"
465,Asclepias syriaca,Asclepiadaceae,,0,"array([3.98535173, 0.45054336])"
466,Agrotis ypsilon,Noctuidae,Lepidoptera,1,"array([ 3.94530312, -0.3422295 ])"
467,Belvosia bifasciata,Tachinidae,Diptera,1,"array([3.62205023, 0.73005646])"
468,Belvosia unifasciata,Tachinidae,Diptera,1,"array([3.64220176, 0.97114305])"
469,Callimorpha fulvicosta,Arctiidae,Lepidoptera,1,"array([ 3.82456879, -0.32745079])"
470,Campsomeris confluenta,Scoliidae,Hymenoptera,1,"array([4.34951066, 0.57961788])"
471,Chloerocampa tersa,Sphingidae,Lepidoptera,1,"array([ 4.27007798, -0.26834741])"
472,Colletes nudus,Colletidae,Hymenoptera,1,"array([3.49959259, 0.39492939])"
473,Culex stimulans,Culicidae,Diptera,1,"array([ 3.89076872, -0.31851073])"
474,Euschistus variolarius,Pentatomidae,Hemiptera,1,"array([3.64325214, 0.90609201])"
475,Euvanessa antiopa,Nymphalidae,Lepidoptera,1,"array([4.71764266, 0.83910534])"
476,Hyetodosia rufitibia,Anthomyidae,Diptera,1,"array([4.34856364, 1.21012034])"
477,Macrodactylus angustatus,Scarabaeidae,Coleoptera,1,"array([ 4.16859013, -0.34084541])"
478,Mallota illinoensis,Syrphidae,Diptera,1,"array([3.36138911, 0.30881158])"
479,Melanotus communis,Elateridae,Coleoptera,1,"array([ 4.04404316, -0.33500226])"
480,Odontomyia cincta,Stratiomyidae,Diptera,1,"array([3.60731258, 0.34038106])"
481,Photinus pyralis,Lampyridae,Coleoptera,1,"array([3.39192019, 1.03085687])"
482,Physocephala texana,Conopidae,Diptera,1,"array([3.92177724, 0.33578276])"
483,Polygonia interrogationis,Nymphalidae,Lepidoptera,1,"array([4.6257509 , 0.73644539])"
484,Sinea diadema,Reduviidae,Hemiptera,1,"array([ 3.72996251, -0.07149606])"
485,Stomoxys calcitrans,Muscidae,Diptera,1,"array([3.69248439, 0.60192105])"
486,Trichopoda plumipes,Tachinidae,Diptera,1,"array([3.46913267, 0.0549587 ])"
487,Triepeolus remigatus,Megachilidae,Hymenoptera,1,"array([4.17025123, 0.25510404])"
488,Xenoglossa strenua,Euceridae,Hymenoptera,1,"array([ 4.51233059, -0.19342173])"
489,Asclepias tuberosa,Asclepiadaceae,,0,"array([4.16650628, 0.33860973])"
490,Anthidium cognatum,Stelididae,Hymenoptera,1,"array([ 4.4801757, -0.1036799])"
491,Cyphopyga montivaga,Megachilidae,Hymenoptera,1,"array([4.23802407, 0.42140198])"
492,Asclepias verticillata,Asclepiadaceae,,0,"array([3.84106208, 0.63704435])"
493,Anoplius illinoensis,Pompilidae,Hymenoptera,1,"array([3.68120744, 0.86831426])"
494,Batizonus algidus,Pompilidae,Hymenoptera,1,"array([3.39268033, 0.45135206])"
495,Calythea albicincta,Anthomyidae,Diptera,1,"array([3.78603681, 1.0236808 ])"
496,Cerceris fulvipes,Philanthidae,Hymenoptera,1,"array([3.54866182, 0.38788072])"
497,Cerceris raui,Philanthidae,Hymenoptera,1,"array([3.40054511, 0.10293867])"
498,Cerceris robertsonii,Philanthidae,Hymenoptera,1,"array([3.3640151 , 0.53946562])"
499,Chloralictus albipennis,Halictidae,Hymenoptera,1,"array([4.10479013, 0.67974587])"
500,Clytiomyia flava,Tachinidae,Diptera,1,"array([3.40075275, 0.93815928])"
501,Eristalis latifrons,Syrphidae,Diptera,1,"array([4.07197081, 0.66211934])"
502,Exorista confinis,Tachinidae,Diptera,1,"array([3.59411087, 1.0749005 ])"
503,Formica rufibarbis,Formicidae,Hymenoptera,1,"array([3.2776014 , 0.08497025])"
504,Holopyga ventralis,Chrysididae,Hymenoptera,1,"array([3.45482387, 0.946146  ])"
505,Hylotoma humeralis,Tenthredinidae,Hymenoptera,1,"array([3.47111486, 1.17972909])"
506,Lophopompilus philadelphicus,Pompilidae,Hymenoptera,1,"array([3.57199272, 0.81311692])"
507,Machaeris stygia,Sphecodiniidae,Hymenoptera,1,"array([3.79371248, 0.9777374 ])"
508,Mesogramma polita,Syrphidae,Diptera,1,"array([3.5519506 , 0.61682882])"
509,Neotrypetes barbatus,Megachilidae,Hymenoptera,1,"array([4.34231872, 0.11179462])"
510,Paradidyma singularis,Tachinidae,Diptera,1,"array([3.62650201, 0.83521463])"
511,Pholisora hayhurstii,Hesperiidae,Lepidoptera,1,"array([4.45234157, 0.46025561])"
512,Phorantha purpurascens,Tachinidae,Diptera,1,"array([3.77184901, 0.94956748])"
513,Phymata wolffii,Phymatidae,Hemiptera,1,"array([3.42323698, 0.29765472])"
514,Priocnemoides terminatus,Pompilidae,Hymenoptera,1,"array([3.20337474, 0.42832229])"
515,Rhipiphorus limbatus,Rhipiphoridae,Coleoptera,1,"array([3.48291123, 0.58250358])"
516,Sarcophaga sinuata,Sarcophagidae,Diptera,1,"array([3.97397238, 1.03908471])"
517,Sepsis violacea,Sepsidae,Diptera,1,"array([3.90644868, 1.12037767])"
518,Siphoplagia anomala,Tachinidae,Diptera,1,"array([3.76394559, 0.39554869])"
519,Siphoplagia flaccidirostris,Tachinidae,Diptera,1,"array([3.34330098, 0.60189469])"
520,Solenius interruptus,Crabronidae,Hymenoptera,1,"array([3.8124773 , 0.86974786])"
521,Systoechus vulgaris,Bombyliidae,Diptera,1,"array([4.03672527, 0.36110249])"
522,Trichopoda pennipes,Tachinidae,Diptera,1,"array([3.6456267 , 0.86985732])"
523,Triepeolus concolor,Epeolidae,Hymenoptera,1,"array([3.96457055, 0.32126906])"
524,Typocerus sinuatus,Cerambycidae,Coleoptera,1,"array([3.78255867, 0.50362377])"
525,Xanthomelana arcuata,Tachinidae,Diptera,1,"array([3.58970647, 0.85457155])"
526,Asiminia triloba,Anonaceae,,0,"array([4.0638883 , 1.32585316])"
527,Helicobia 4-setosa,Sarcophagidae,Diptera,1,"array([3.88398494, 1.07196126])"
528,Asparagus officinalis,Liliaceae,,0,"array([4.62241823, 0.63446356])"
529,Aster anomalus,Compositae,,0,"array([3.93229612, 0.49080371])"
530,Anthrax halcyon,Bombyliidae,Diptera,1,"array([3.9815712 , 0.15578257])"
531,Chelonus sericeus,Braconidae,Hymenoptera,1,"array([3.38554314, 0.62820439])"
532,Colletes americanus,Colletidae,Hymenoptera,1,"array([3.73945134, 0.45037372])"
533,Colletes compactus,Colletidae,Hymenoptera,1,"array([3.74889171, 0.35369271])"
534,Epicauta pennsylvanica,Meloidae,Coleoptera,1,"array([3.72319069, 0.40955841])"
535,Geron rufipes,Bombyliidae,Diptera,1,"array([3.87687589, 0.28942055])"
536,Melissodes autumnalis,Euceridae,Hymenoptera,1,"array([3.7871193 , 0.34658252])"
537,Pterandrena asteris,Andrenidae,Hymenoptera,1,"array([3.5570789 , 0.48488062])"
538,Pterandrena solidaginis,Andrenidae,Hymenoptera,1,"array([3.60806272, 0.54024973])"
539,Syrphus arcuatus,Syrphidae,Diptera,1,"array([4.05255909, 0.79484193])"
540,Zerene caesonia,Papilionidae,Lepidoptera,1,"array([3.87953774, 0.14734106])"
541,Aster ericoides villosus,Compositae,,0,"array([3.83719413, 0.6120381 ])"
542,Actia pilipennis,Tachinidae,Diptera,1,"array([3.57014777, 0.23035236])"
543,Agapostemon splendens,Halictidae,Hymenoptera,1,"array([4.38008185, 0.69541272])"
544,Agapostemon viridulus,Halictidae,Hymenoptera,1,"array([4.18613107, 0.56796931])"
545,Agathis vulgaris,Braconidae,Hymenoptera,1,"array([3.25294332, 0.70011468])"
546,Alophora aeneoventris,Tachinidae,Diptera,1,"array([3.62820779, 0.68743855])"
547,Alophora pulverea,Tachinidae,Diptera,1,"array([ 3.3450397 , -0.02707063])"
548,Ancistrocerus campestris,Eumenidae,Hymenoptera,1,"array([3.68038969, 0.89573636])"
549,Ancistrocerus capra,Eumenidae,Hymenoptera,1,"array([3.62472105, 0.62456981])"
550,Ancistrocerus tigris,Eumenidae,Hymenoptera,1,"array([3.95771648, 0.87766204])"
551,Andrena nubecula,Andrenidae,Hymenoptera,1,"array([3.47625318, 0.43311064])"
552,Anthrax hypomelas,Bombyliidae,Diptera,1,"array([3.43919924, 0.15641864])"
553,Archytas aterrima,Tachinidae,Diptera,1,"array([3.91968972, 0.72616415])"
554,Argyramoeba albofasciata,Bombyliidae,Diptera,1,"array([4.24105609, 0.73285678])"
555,Atalopedes huron,Hesperiidae,Lepidoptera,1,"array([3.74723609, 0.30305761])"
556,Baccha clavata,Syrphidae,Diptera,1,"array([3.73325411, 0.07321981])"
557,Celatoria diabroticae,Tachinidae,Diptera,1,"array([ 3.57279822, -0.12133165])"
558,Cerceris astarte,Philanthidae,Hymenoptera,1,"array([3.34442057, 1.01669027])"
559,Ceropales fraterna,Pompilidae,Hymenoptera,1,"array([3.49648986, 0.95806544])"
560,Chaetopsis aenea,Ortalidae,Diptera,1,"array([3.52587457, 0.92311817])"
561,Chaetogaedia crebra,Tachinidae,Diptera,1,"array([3.14693085, 0.1183568 ])"
562,Chalcis flavipes,Chalcididae,Hymenoptera,1,"array([3.27142987, 0.85921474])"
563,Charidryas nycteis,Nymphalidae,Lepidoptera,1,"array([4.12901205, 0.65189382])"
564,Chilosia punctulata,Syrphidae,Diptera,1,"array([4.14988808, 0.92909503])"
565,Chloralictus foveolatus,Halictidae,Hymenoptera,1,"array([4.69297591, 0.88687419])"
566,Chloralictus illinoensis,Halictidae,Hymenoptera,1,"array([4.02773783, 0.97459206])"
567,Chloralictus smilacinae,Halictidae,Hymenoptera,1,"array([4.69586615, 0.79496826])"
568,Coelioxys rufitarsis,Megachilidae,Hymenoptera,1,"array([4.15392569, 0.19006198])"
569,Coenosia 6-notata,Anthomyidae,Diptera,1,"array([4.6238139 , 0.16420648])"
570,Coenosia antennalis,Anthomyidae,Diptera,1,"array([4.67451637, 0.75793941])"
571,Coenosia antica,Anthomyidae,Diptera,1,"array([3.85980748, 0.99669632])"
572,Colletes armatus,Colletidae,Hymenoptera,1,"array([3.4850453 , 0.48986961])"
573,Curtisapis fuscipennis,Halictidae,Hymenoptera,1,"array([3.65257471, 0.93913214])"
574,Cyllene robiniae,Cerambycidae,Coleoptera,1,"array([3.51823156, 0.29580757])"
575,Diabrotica longicornis,Chrysomelidae,Coleoptera,1,"array([3.81866738, 0.34559413])"
576,Diabrotica vittata,Chrysomelidae,Coleoptera,1,"array([4.04457903, 1.08153273])"
577,Dialictus anomalus,Halictidae,Hymenoptera,1,"array([3.93465932, 1.25383505])"
578,Dilophus serotinus,Bibionidae,Diptera,1,"array([ 3.46462869, -0.0661931 ])"
579,Distichona varia,Tachinidae,Diptera,1,"array([3.53455423, 1.11885619])"
580,Epeolus autumnalis,Nomadidae,Hymenoptera,1,"array([3.72435267, 0.16455146])"
581,Epeolus pusillus,Epeolidae,Hymenoptera,1,"array([3.65093559, 0.39264942])"
582,Eristalis bastardi,Syrphidae,Diptera,1,"array([3.56811443, 1.00106505])"
583,Eristalis flavipes,Syrphidae,Diptera,1,"array([3.9048191, 0.8719982])"
584,Euptoieta claudia,Nymphalidae,Lepidoptera,1,"array([4.02690903, 0.13051911])"
585,Euthera tentatrix,Tachinidae,Diptera,1,"array([3.21833564, 0.08385408])"
586,Exetastes obscurus,Ichneumonidae,Hymenoptera,1,"array([ 3.3924293 , -0.11024438])"
587,Exoprosopa decora,Bombyliidae,Diptera,1,"array([3.84309734, 0.27279289])"
588,Exoprosopa fascipennis,Bombyliidae,Diptera,1,"array([3.77535154, 0.45470754])"
589,Feltia subgothica,Noctuidae,Lepidoptera,1,"array([3.59298363, 0.17609215])"
590,Geranomyia canadensis,Tipulidae,Diptera,1,"array([3.82474529, 1.22373332])"
591,Gonochrysis perpulchra,Chrysididae,Hymenoptera,1,"array([3.43999163, 0.79383197])"
592,Harmostes reflexulus,Berytidae,Hemiptera,1,"array([3.39743393, 0.18229769])"
593,Heliothis armiger,Noctuidae,Lepidoptera,1,"array([3.70092247, 0.29813863])"
594,Helophilus latifrons,Syrphidae,Diptera,1,"array([4.07594533, 0.72531303])"
595,Heterosarus parvus,Panurgidae,Hymenoptera,1,"array([4.0320042 , 0.69911709])"
596,Holonomada placida,Nomadidae,Hymenoptera,1,"array([3.4038495, 0.3430895])"
597,Holonomada vincta,Nomadidae,Hymenoptera,1,"array([ 3.90526078, -0.01852995])"
598,Hylemyia laevis,Anthomyidae,Diptera,1,"array([ 4.11406083, -0.15095519])"
599,Hypocrabro 10-maculatus,Crabronidae,Hymenoptera,1,"array([3.51280086, 0.82740106])"
600,Hypostena barbata,Tachinidae,Diptera,1,"array([3.50837243, 0.10661017])"
601,Junonia coenia,Nymphalidae,Lepidoptera,1,"array([3.61446517, 0.03323085])"
602,Larropsis distincta,Larridae,Hymenoptera,1,"array([3.59922398, 0.65759248])"
