# index, name, family, order, is_pollinator, _pos
191,Amorpha fruticosa,Leguminosae,,0,"array([4.0493563 , 1.15576991])"
192,Centrias americanus,Nomadidae,Hymenoptera,1,"array([4.1788622 , 0.90730215])"
193,Prosopis saniculae,Prosopididae,Hymenoptera,1,"array([3.78883007, 1.29631032])"
194,Prosopis sayi,Prosopididae,Hymenoptera,1,"array([3.9368945 , 1.03385034])"
195,Amphicarpa pitcheri,Leguminosae,,0,"array([4.67561415, 0.24714506])"
196,Anemonella thalictroides,Ranunculaceae,,0,"array([4.42384273, 0.9724813 ])"
197,Cercus abdominalis,Nitidulidae,Coleoptera,1,"array([5.0013842 , 1.05599253])"
198,Diceratosmia conjuncta,Megachilidae,Hymenoptera,1,"array([4.51043957, 0.80466949])"
199,Gnathias ovatus,Nomadidae,Hymenoptera,1,"array([4.38447986, 1.05483163])"
200,Osmia pumila,Megachilidae,Hymenoptera,1,"array([4.42843353, 0.9000885 ])"
201,Anethum graveolens,Umbelliferae,,0,"array([4.79098985, 0.09226971])"
202,Antennaria plantaginifolia,Compositae,,0,"array([4.25765986, 0.99295844])"
203,Andrena illinoensis,Andrenidae,Hymenoptera,1,"array([4.32996497, 1.34523249])"
204,Andrena nigrae,Andrenidae,Hymenoptera,1,"array([4.51270069, 1.52216774])"
205,Anthrenus scrophulariae,Dermestidae,Coleoptera,1,"array([4.9284198 , 1.36653049])"
206,Asclera ruficollis,Oedemeridae,Coleoptera,1,"array([4.60643398, 1.22526907])"
207,Chloralictus pruinosus,Sphecodiniidae,Hymenoptera,1,"array([4.10980079, 0.71301005])"
208,Chlorops versicolor,Oscinidae,Diptera,1,"array([4.77352595, 1.31470784])"
209,Dialonia antennariae,Halictidae,Hymenoptera,1,"array([3.49156952, 0.9078004 ])"
210,Drasteria erechtea,Noctuidae,Lepidoptera,1,"array([3.91538719, 0.29139773])"
211,Empis otiosa,Empididae,Diptera,1,"array([4.5392672, 1.1135402])"
212,Eurymus philodice,Papilionidae,Lepidoptera,1,"array([4.21013887, 0.57729034])"
213,Gonia exul,Tachinidae,Diptera,1,"array([4.67777266, 1.25651364])"
214,Heminomada obliterata,Nomadidae,Hymenoptera,1,"array([4.4324666 , 1.20859015])"
215,Holochrysis hilaris,Chrysididae,Hymenoptera,1,"array([4.54761191, 1.3209806 ])"
216,Limnophora narona,Anthomyidae,Diptera,1,"array([3.81010492, 0.93760257])"
217,Loxostege similalis,Pyraustidae,Lepidoptera,1,"array([4.66122467, 0.61928589])"
218,Lucilia caesar,Muscidae,Diptera,1,"array([4.01272824, 0.90850315])"
219,Morellia micans,Muscidae,Diptera,1,"array([3.92002692, 1.06539991])"
220,Nomada cressonii,Nomadidae,Hymenoptera,1,"array([4.49414948, 1.09419571])"
221,Nomada sayi,Nomadidae,Hymenoptera,1,"array([4.42285915, 1.08349571])"
222,Pachyophthalmus signatus,Tachinidae,Diptera,1,"array([3.68542658, 0.95607002])"
223,Phor integer,Nomadidae,Hymenoptera,1,"array([4.37097535, 1.36339304])"
224,Platychirus hyperboreus,Syrphidae,Diptera,1,"array([4.28670738, 1.15072088])"
225,Rhamphomyia priapulus,Empididae,Diptera,1,"array([4.39033854, 1.22188226])"
226,Sphecodes minor,Sphecodiniidae,Hymenoptera,1,"array([4.1425981 , 1.22190243])"
227,Sphecodium cressonii,Andrenidae,Hymenoptera,1,"array([3.97894608, 0.93091367])"
228,Thanaos brizo,Hesperiidae,Lepidoptera,1,"array([4.75920071, 0.81522064])"
229,Thanaos juvenalis,Hesperiidae,Lepidoptera,1,"array([4.32200101, 0.73896908])"
230,Vanessa huntera,Nymphalidae,Lepidoptera,1,"array([4.19166388, 0.69208467])"
231,Xanthidium luteolum,Nomadidae,Hymenoptera,1,"array([4.5456442 , 1.07480194])"
232,Zaodontomerus calcaratus,Ceratinidae,Hymenoptera,1,"array([4.27868234, 0.88567827])"
233,Anthemis cotula,Compositae,,0,"array([3.93744093, 1.15345145])"
234,Parempis clausa,Empididae,Diptera,1,"array([3.81374572, 0.72625911])"
235,Apios tuberosa,Leguminosae,,0,"array([ 4.27545163, -0.15948221])"
236,Apocynum androsaemifolium,Apocynaceae,,0,"array([4.1755337 , 0.95996413])"
237,Graphomyia americana,Muscidae,Diptera,1,"array([3.8211166 , 0.99285527])"
238,Linnaemyia compta,Tachinidae,Diptera,1,"array([3.87873474, 0.86285426])"
239,Trichophora ruficauda,Tachinidae,Diptera,1,"array([3.79784413, 0.7000513 ])"
