# index, label, _pos
178,704,"array([ 0.57934845, -2.60001124])"
179,729,"array([ 0.53611126, -2.67578628])"
180,45,"array([ 0.83006738, -2.02001984])"
181,645,"array([ 0.87416071, -2.0360632 ])"
182,705,"array([ 0.80028134, -2.057991  ])"
183,763,"array([ 0.81430855, -1.97297642])"
184,46,"array([ 0.3447527 , -2.07594207])"
185,646,"array([ 0.33327982, -2.11918211])"
186,706,"array([ 0.39223786, -2.06358193])"
187,758,"array([ 0.30396597, -2.04799243])"
188,47,"array([ 0.95617581, -2.16107165])"
189,647,"array([ 0.99845427, -2.17160609])"
190,707,"array([ 0.93338096, -2.11323088])"
191,739,"array([ 0.93541373, -2.20519621])"
192,48,"array([ 1.00467781, -2.25786622])"
193,648,"array([ 1.02029844, -2.21244062])"
194,708,"array([ 0.95904489, -2.25273149])"
195,724,"array([ 1.02809623, -2.30447518])"
196,49,"array([ 0.67723312, -2.82279687])"
197,649,"array([ 0.63807119, -2.80553992])"
198,709,"array([ 0.66728686, -2.86976086])"
199,727,"array([ 0.71657948, -2.7905888 ])"
200,50,"array([ 0.97701677, -2.03261798])"
201,650,"array([ 0.93792959, -2.04252225])"
202,710,"array([ 0.97284928, -1.98386383])"
203,723,"array([ 1.00700066, -2.07362014])"
204,51,"array([ 1.09071185, -2.87724628])"
205,651,"array([ 1.09719221, -2.84056189])"
206,711,"array([ 1.11877357, -2.83853654])"
207,743,"array([ 1.0520798 , -2.91995431])"
208,52,"array([ 0.67149056, -2.72892116])"
209,652,"array([ 0.63891232, -2.76366112])"
210,712,"array([ 0.71577294, -2.74068555])"
211,744,"array([ 0.65857195, -2.68497296])"
212,53,"array([ 1.10455202, -2.72506279])"
213,653,"array([ 1.09707617, -2.77532935])"
214,713,"array([ 1.06457841, -2.71232006])"
215,722,"array([ 1.13517109, -2.68076693])"
216,54,"array([ 1.00226469, -2.09102053])"
217,654,"array([ 1.0205796 , -2.13717755])"
218,714,"array([ 1.02877998, -2.05465661])"
219,740,"array([ 0.95712505, -2.0713338 ])"
220,55,"array([ 0.37121445, -3.20943379])"
221,655,"array([ 0.31782354, -3.21177587])"
222,715,"array([ 0.39544221, -3.17495163])"
223,730,"array([ 0.41415496, -3.22512002])"
224,56,"array([ 1.15128548, -2.7593841 ])"
225,656,"array([ 1.1216565 , -2.79715785])"
226,716,"array([ 1.16493415, -2.70479547])"
227,721,"array([ 1.1482753 , -2.78871069])"
228,57,"array([ 0.9546255 , -2.12645715])"
229,657,"array([ 0.92990727, -2.08357601])"
230,717,"array([ 0.99801672, -2.1246612 ])"
231,726,"array([ 0.93429739, -2.1712787 ])"
232,58,"array([ 1.08089342, -2.25026652])"
233,658,"array([ 1.05675876, -2.20818818])"
234,718,"array([ 1.07239308, -2.30156064])"
235,720,"array([ 1.11577835, -2.23037627])"
236,59,"array([ 1.08557686, -2.13794544])"
237,659,"array([ 1.05455218, -2.16140948])"
238,719,"array([ 1.11575697, -2.17634781])"
239,725,"array([ 1.07175617, -2.08475442])"
240,60,"array([-0.34671519, -2.46779404])"
241,780,"array([-0.3824669 , -2.48328762])"
242,1140,"array([-0.34149643, -2.41265265])"
243,61,"array([-0.37129157, -2.00410687])"
244,781,"array([-0.3349194 , -1.99054573])"
245,1141,"array([-0.39467221, -2.05812769])"
246,62,"array([-0.34530463, -2.11799827])"
247,782,"array([-0.37224379, -2.16692146])"
248,1142,"array([-0.30515318, -2.13115746])"
249,63,"array([-0.25884148, -2.67623908])"
250,783,"array([-0.28681957, -2.62581565])"
251,1143,"array([-0.25695766, -2.72999737])"
252,64,"array([-0.21541883, -2.39163205])"
253,784,"array([-0.23608698, -2.34216946])"
254,1144,"array([-0.167578  , -2.39572788])"
255,65,"array([-0.30112515, -2.6863759 ])"
256,785,"array([-0.27959914, -2.73924078])"
257,1145,"array([-0.33761587, -2.64738986])"
258,66,"array([-0.16439891, -2.52493999])"
259,786,"array([-0.14042372, -2.47904352])"
260,1146,"array([-0.21058219, -2.52055512])"
261,67,"array([ 0.03138743, -1.93861591])"
262,787,"array([-0.00734516, -1.97508583])"
263,1147,"array([ 0.03794414, -1.88787052])"
264,68,"array([-0.12689505, -2.84716903])"
265,788,"array([-0.16717439, -2.86479098])"
266,1148,"array([-0.07818208, -2.87468123])"
267,69,"array([ 0.21200746, -2.04664364])"
